ucid,title,rank_bm25,rank_bm25f,rank_change
WO-2000000725-A1,ENGINE SYSTEM EMPLOYING AN UNSYMMETRICAL CYCLE,8,1,7
WO-2000000732-A1,FUEL SYSTEM FOR LIQUEFIED GAS,6,2,4
WO-1979000205-A1,A CARBURETOR FOR INTERNAL COMBUSTION ENGINES,9,3,6
WO-2000000739-A1,METHOD OF CONTROLLING THE IGNITION IN AN INTERNAL COMBUSTION ENGINE AND ENGINE W,-,4,NEW
WO-1979000053-A1,INTERNAL COMBUSTION ENGINE FUEL ECONOMY SYSTEM,5,5,0
WO-2000000770-A1,FUEL INJECTOR FOR GAS TURBINE ENGINE,-,6,NEW
WO-2000000742-A1,FLEXIBLE ARMATURE FOR FUEL INJECTION SYSTEM CONTROL VALVE,-,7,NEW
WO-2000000736-A1,FUEL SUPPLY DEVICE FOR AN INTERNAL COMBUSTION ENGINE,2,8,-6
WO-2000000756-A1,METHOD AND APPARATUS FOR TENSIONING A CHAIN OF AN INTERNAL COMBUSTION ENGINE,10,9,1
WO-2000000727-A1,"METHOD FOR OPERATING AN INTERNAL COMBUSTION ENGINE, ESPECIALLY AN INTERNAL COMBU",1,10,-9
WO-2000000737-A1,FUEL INJECTION VALVE WITH INTEGRATED SPARK PLUG,4,-,DROPPED
WO-2000001936-A2,PRESSURE VALVE,7,-,DROPPED
WO-2000000738-A1,FUEL INJECTION VALVE WITH INTEGRATED SPARK PLUG,3,-,DROPPED
