rank,ucid,title,abstract,ipc,source_file,score
1,WO-2000002299-A1,IMPROVED POWER SUPPLY ASSEMBLY FOR HAND-HELD COMMUNICATIONS DEVICE ENSEMBLE ALIMENTATION EN PUISSANCE AMELIORE DESTINE A UN APPAREIL DE TELECOMMUNICATION PORTATIF,"A portable phone has an internal battery (10) and an external battery pack (12) that is releasably attachable to the phone. A control unit (72) in the phone controls connection of the respective batteries to a phone power input (40), depending on the detection of the external battery voltage. Whenever an external battery is present with a voltage above a predetermined minimum value, the external battery will be connected (51) to the phone power input to provide power to operate the phone, so that the internal battery lifetime is extended. When the external battery voltage falls below the minimum value, or the external battery is removed, the unit automatically switches to internal battery power (50), so that the external battery can be changed without interrupting power supply to the phone, if the phone is on or during a call. An improved multi-phase software controlled battery-charging method and apparatus is used to charge the internal and external battery packs. The preferred battery-charging method (200) uses a multi-phased charging approach comprising a trickle-charging phase (206), a fast-charging phase (208), and a top-off charging phase (214). The internal battery is charged to near-full capacity by trickle-charging (when required) and subsequently fast-charging the battery. The external battery is similarly charged to near-full capacity. Thus, both batteries are charged to near-full capacity in a substantially reduced charging time period as compared with the total charging time. Un téléphone portatif comprend une batterie interne (10) et un bloc-batterie externe (12) qui peut être fixé de manière détachable sur le téléphone. Une unité (72) de contrôle intégrée dans le téléphone contrôle la connexion des batteries respectives à l'entrée (40) de puissance du téléphone, au moyen de la détection de la tension du bloc-batterie. Chaque fois qu'un bloc-batterie externe présente une tension supérieure à une valeur minimale prédéterminée, le bloc-batterie externe est connecté (51) à l'entrée de puissance du téléphone pour fournir la puissance permettant au téléphone de fonctionner, ceci permettant d'allonger la durée de vie de la batterie interne. Lorsque la tension du bloc-batterie externe chute en-deça de la valeur minimale, ou que le bloc-batterie est enlevé, l'unité se place automatiquement sur la puissance (50) de la batterie interne pour que le bloc-batterie puisse être changé sans que le téléphone subisse une interruption de son alimentation en puissance, si le téléphone est sous tension ou pendant un appel. Un procédé et un appareil améliorés de charge de batterie à plusieurs phases pilotée par logiciel sont utilisés pour charger les blocs-batteries interne et externe. Le procédé (200) de charge de batterie préféré utilise une technique de charge à plusieurs phases comprenant une phase (206) de charge à régime lent, une phase (208) de charge rapide et une phase (214) de charge d'appoint. La batterie interne est chargée à sa capacité presque maximale par régime lent (en fonction des besoins) puis par charge rapide. Le bloc-batterie externe est lui aussi et de la même manière chargé à sa capacité presque maximale. Ainsi les deux batteries sont chargées à leur capacité presque maximale pendant une durée de charge sensiblement réduite par rapport au temps nécessaire pour effectuer la charge totale.",7 H02J 7/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000002299-A1.xml,17.070122398984665
2,WO-2000001934-A1,OPERATING A GAS TURBINE WITH SUPPLEMENTAL COMPRESSED AIR TURBINE A GAZ A ADJONCTION D'AIR COMPRIME,"A method is provided to ensure that a combustion turbine (12) may operate at maximum power at elevated ambient temperature and/or low air density. The method includes a combustion turbine mode in which air is supplied exclusively from a combustion turbine compressor (14), a compressed air augmentation mode in which additional air is supplied from an air storage (28), and an air storage charging mode in which air from a charging compressor (32) is supplied to the air storage (28). Alternatively, the air storage (28) may be eliminated and the charging compressor (32) sized for full supplemental air flow. L'invention porte sur un procédé permettant à une turbine à gaz (12) de fonctionner à sa puissance maximale dans de l'air ambiant à température élevée et/ou ou de l'air de faible densité. Le procédé comporte: un mode de fonctionnement selon lequel l'air provient exclusivement de l'étage de compression (14) de la turbine; un mode mixte par adjonction d'air provenant d'un réservoir (28); et un mode mixte où un turbocompresseur (28) alimente le susdit réservoir. En variante le réservoir (28) peut être éliminé, le turbocompresseur (32) étant alors dimensionné pour fournir la totalité de l'air additionnel.",7 F02C 3/30 F02C 6/16,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001934-A1.xml,13.067816727817243
3,WO-2000001192-A2,"CALL ADMISSION CONTROL SYSTEM FOR WIRELESS ATM NETWORKS SYSTEME DE GESTION DES ADMISSIONS D'APPELS, DESTINE A DES RESEAUX MTA SANS FIL","A system which determines whether to accept a wireless connection to a network device receives a request to initiate the wireless connection to the network device, and then determines, in response to the request, a nominal cell rate at which cells are exiting from a buffer in the network device for the requested wireless connection. Thereafter, the system determines an amount of buffer space in the network device required to accommodate the connection, and decides whether to accept the wireless connection based on the nominal cell rate and the amount of buffer space required to accommodate the connection. Ce système, destiné à déterminer si un dispositif de réseau doit accepter une connexion sans fil, reçoit une demande d'initialisation d'une connexion sans fil destinée au dispositif du réseau, puis détermine, en réponse à cette demande, un débit cellulaire nominal auquel les cellules sortent d'un tampon, dans le dispositif de réseau destiné à la connexion sans fil demandée. Ensuite, le système détermine une quantité d'espace tampon, dans le dispositif de réseau, nécessaire au logement de la connexion, et décide d'accepter ou non la connexion sans fil en fonction du débit cellulaire nominal et de la quantité d'espace tampon nécessaire au logement de la connexion.",7 H04Q 11/04,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001192-A2.xml,12.92724275702858
4,WO-2000000928-A1,APPARATUS AND METHODS FOR IMAGING WRITTEN INFORMATION WITH A MOBILE TELEPHONE SET APPAREIL ET PROCEDES DE FORMATION D'IMAGES DE DONNEES ECRITES AVEC UN POSTE TELEPHONIQUE MOBILE,"The systems and methods described herein provide communication systems that allow for the transmission of voice and data over a wireless network. To that end, the systems described herein include a mobile wireless communication system, such as a GSM telephone, and a pen input device capable of collecting information about an image written on a writing surface and capable of transmitting that information into the wireless communication device. L'invention concerne des systèmes et procédés destinés à des systèmes de communication permettant la transmission de sons vocaux et de données dans un réseau sans fil. Dans ce but, les systèmes de la présente invention comprennent un système mobile de communication sans fil, tel qu'un téléphone du réseau de téléphonie mobile (GSM), et un dispositif de saisie par stylo capable de collecter des informations sur une image inscrite sur une surface d'écriture et de transmettre ces informations au dispositif de communication sans fil.",7 G06K 11/18 G06F 3/033,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000928-A1.xml,11.666844703998231
5,WO-2000001132-A1,TELEPHONE DIRECTORY MANAGEMENT SYSTEM HAVING WIRELESS TELEPHONE INTERFACE CAPABILITY SYSTEME DE GESTION D'ANNUAIRE TELEPHONIQUE POSSEDANT UNE CAPACITE D'INTERFACE TELEPHONIQUE SANS FIL,"A contact management system having wireless telephone interface capability for managing contact information and the contents of a wireless telephone's phone book memory (244). The contact management system comprises, according to a preferred embodiment, a computer system (112) communicatively connectable to wireless telephone (104), and a contact management software application operating on the computer system. The contact management system enables the collection and maintenance of information pertaining to a plurality of contacts, including voice telephone numbers of the contacts. The contact management system also enables selection and grouping of user-identified voice telephone numbers into fone lists which are independently selectable and downloadable to a wireless telephone via a communication interface which is capable of choosing an appropriate device driver which is compatible with the wireless telephone. Système de gestion de contacts possédant une capacité d'interface téléphonique sans fil servant à gérer des informations de contact et le contenu d'une mémoire (244) d'annuaire téléphonique sans fil. Ce système comprend, selon un mode de réalisation préféré, un système informatique (112) pouvant être connecté à un téléphone sans fil (104) et une application logicielle de gestion de contacts opérant sur le système informatique. Ce système de gestion de contacts permet de recueillir et de conserver des informations appartenant à une pluralité de contacts, y compris les numéros de téléphone vocaux de ces contacts. Il permet également de sélectionner et de regrouper des numéros de téléphone vocaux identifiés par l'utilisateur en listes téléphoniques pouvant être sélectionnées indépendamment et téléchargées vers un téléphone sans fil par l'intermédiaire d'une interface de communication capable de choisir un pilote de périphérique approprié compatible avec le téléphone sans fil.",7 H04M 1/274,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001132-A1.xml,11.416269437295822
6,WO-2000000847-A1,METHOD AND APPARATUS FOR COMPUTING DRILL BIT VIBRATION POWER SPECTRAL DENSITY PROCEDE ET DISPOSITIF PERMETTANT DE CALCULER LA DENSITE SPECTRALE DE LA PUISSANCE VIBRATOIRE D'UN TREPAN,"A power spectrum density processor is located near the drill bit while drilling. The power spectral density processor computes the power spectral density of the vibrations generated by the drill bit while drilling. The power spectral density information is telemetered to the surface. A drill string transfer function is estimated using the drill bit power spectral density, derived from the vibrations of the drill string, measured substantially at the surface, to enhance drill bit seismic techniques. L'invention concerne un processeur de densité spectrale de puissance qu'on place à proximité du trépan pendant le forage. Le processeur de densité spectrale calcule la densité spectrale de puissance des vibrations générées par le trépan pendant le forage. Cette information concernant la densité spectrale de puissance est transmise à la surface par télémesure. On évalue une fonction de transfert pour le train de sonde au moyen de la densité spectrale de puissance du trépan dérivée des vibrations du train de sonde mesurées principalement à la surface ce qui permet d'améliorer les techniques sismiques à trépans.",7 G01V 1/42,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000847-A1.xml,11.28226473330591
7,WO-2000002358-A1,SECURE SESSION SET UP BASED ON THE WIRELESS APPLICATION PROTOCOL ETABLISSEMENT SUR DE SESSIONS AU MOYEN DU PROTOCOLE D'APPLICATION DE RADIOCOMMUNICATION,"Method, apparatus, memory card, and system for establishing a secure connection between a wireless communication apparatus and a data communication apparatus based on a wireless application protocol. The wireless communication apparatus is provided with contact means for receiving information from a separate unit provided with memory means. The memory means comprising information to control the access of the wireless communication apparatus through a wireless communication network connected to said data communication apparatus. L'invention concerne un procédé, un dispositif, une carte mémoire et un système permettant l'établissement d'une connexion sûre entre un dispositif de radiocommunication et un dispositif de communication de données au moyen d'un protocole d'application de radiocommunication. Le dispositif de radiocommunication comprend des moyens de contact permettant la réception d'informations en provenance d'une unité séparée comprenant des moyens mémoire. Les moyens mémoire comprennent une information permettant de commander l'accès du dispositif de radiocommunication par l'intermédiaire d'un réseau de radiocommunication connecté à ce dispositif de communication de données.",7 H04L 29/06 H04L 12/22,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000002358-A1.xml,10.91138770753104
8,WO-2000001082-A1,METHOD AND APPARATUS IN A WIRELESS COMMUNICATION SYSTEM FOR DYNAMICALLY FORMATTING APPLICATION DATA TO BE TRANSMITTED PROCEDE ET APPAREIL DANS UN SYSTEME DE TELECOMMUNICATION SANS FIL PERMETTANT LE FORMATAGE DYNAMIQUE DE DONNEES D'APPLICATION A TRANSMETTRE,"A device (124, 122) having application data to transmit collects (502) information concerning data transport capabilities affecting transmission timing of at least one wireless link available for transmitting the application data, and calculates (506), from the information, a maximum amount of data that can be completed through the at least one wireless link by a predetermined time. The device then determines (508), when attainable, from the application data and from a predetermined set of user-presentation formats possible for the application data, a user-presentation format that requires less than the maximum amount of data. The device then formats (514) the application data in accordance with the user-presentation format before transmitting the application data (530). L'invention concerne un dispositif (124, 122) destiné à transmettre des données d'application et à recueillir (502) des informations concernant les capacités de transport de données affectant la durée de transmission d'au moins une liaison sans fil disponible pour la transmission des données d'application. Ce dispositif calcule (506), à partir des informations, une quantité maximale de données pouvant être transmises à travers au moins une liaison sans fil en un temps prédéterminé, puis détermine (508) à partir des données d'application et de l'ensemble prédéterminé de formats de présentation à choix un format de présentation utilisateur nécessitant une quantité ne dépassant pas la quantité maximale de données, lorsque c'est faisable. Ce dispositif formate (514) ensuite les données d'application selon le format de présentation utilisateur avant la transmission des données d'application (530).",7 H04B 7/00,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001082-A1.xml,10.822214658863885
9,WO-2000000419-A1,A HIGH-SPEED ROTARY TRANSFER DEVICE DISPOSITIF DE TRANSFERT ROTATIF A GRANDE VITESSE,"This invention provides a rotary transfer device (10) for transferring a material from one point to another point using a conjugate cam vehicle (21) and a transfer drive mechanism (28) therein to provide transfer speed ratios of between about 1x10<4>:1, about 1:1, and/or about 1:1x10<4>, and also from a stationary position to a specified speed and vice versa. Cette invention concerne un dispositif de transfert rotatif (10) qui permet de transférer une matière d'un point à un autre, et qui comprend, à cette fin, un véhicule (21) à came et contre-came ainsi qu'un mécanisme (28) d'actionnement et de transfert. On obtient ainsi des rapports de vitesse de transfert qui varient environ entre 1x10<4>:1, 1:1 et/ou 1:1x10<4>, et qui permettent également de passer d'une position stationnaire à une vitesse prédéterminée, et vice-versa.",7 B65H 5/12 B65H 29/06 B65H 3/42 B65H 29/68,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000000419-A1.xml,9.782251475742651
10,WO-2000001887-A1,VERFAHREN UND VORRICHTUNG ZUR VERBESSERUNG EINER STRICHOBERFLÄCHE VON PAPIERBAHNEN METHOD AND DEVICE FOR IMPROVING THE COATING SURFACE OF STRIPS OF PAPER PROCEDE ET DISPOSITIF POUR AMELIORER LA SURFACE DE COUCHAGE DE BANDES DE PAPIER,"Die Erfindung betrifft ein Verfahren und eine Vorrichtung zur Verbesserung der Strichoberfläche, der auf einer Rohpapierbahn (8, 23) aufgetragenen Streichmasse. Dazu wird eine anionische wässrige Streichmasse und ein anionisches Papier durch eine elektrische Ladungsvorrichtung mit einer gegensätzlichen elektrischen Ladung versehen, so dass die disperse Streichmasse von dem gegensätzlich aufgeladenen Papier (8, 23) angezogen wird. Dabei besteht die elektrische Ladungsvorrichtung entweder aus Koronageneratoren (13, 17) oder aus einer Gleichspannungsquelle (9), die über Elektroden (5, 5a, 7, 7a) mit dem Papier (8, 23) und der Streichmasse in Verbindung steht. The invention relates to a method and device for improving the coating surface of the coating slip deposited on a strip of body paper (8, 23). An anionic aqueous coating slip and anionic paper are thus provided with an opposite electric charge by an electric charging device, whereby the dispersed coating slip is attracted to the oppositely charged paper (8, 23). The electric charging device consists of corona generators (13, 17) or a direct current voltage source (9) that is connected to the paper (8, 23) and coating slip via electrodes (5, 5a, 7, 7a). L'invention concerne un procédé et un dispositif pour améliorer la surface de couchage de la pâte de couchage appliquée sur une bande de papier brut (8, 23). A cet effet, une pâte de couchage aqueuse anionique et un papier anionique sont munis, grâce à un dispositif de charge électrique, d'une charge électrique de sens contraire, de sorte que la pâte de couchage dispersée est attirée par le papier (8, 23) chargé en sens contraire. Le dispositif de charge électrique comporte des générateurs à effet de couronne (13, 17) ou bien une source de tension continue (9) qui se trouve en communication avec le papier (8, 23) et la pâte de couchage par l'intermédiaire des électrodes (5, 5a, 7, 7a).",7 D21H 23/30,/Users/ledionalame/Documents/QMUL/Second Semester/Information Retrieval/Assignment 2/Project/IR-CW2/data/raw/clef_ip/WO-2000001887-A1.xml,9.42787129875676
