rank,ucid,dense_score,bm25f_score,title
1,WO-2000000727-A1,0.67688,113.7626,"METHOD FOR OPERATING AN INTERNAL COMBUSTION ENGINE, ESPECIALLY AN INTERNAL COMBUSTION ENGINE IN A MOTOR VEHICLE"
2,WO-1979000053-A1,0.654205,154.0623,INTERNAL COMBUSTION ENGINE FUEL ECONOMY SYSTEM
3,WO-1979000205-A1,0.642265,146.6874,A CARBURETOR FOR INTERNAL COMBUSTION ENGINES
4,WO-2000000736-A1,0.62784,122.5585,FUEL SUPPLY DEVICE FOR AN INTERNAL COMBUSTION ENGINE
5,WO-2000000732-A1,0.616897,141.6026,FUEL SYSTEM FOR LIQUEFIED GAS
6,WO-2000001942-A1,0.591671,55.7187,FUEL INJECTOR
7,WO-2000001930-A2,0.586312,121.7796,INJECTOR EGR VALVE AND SYSTEM
8,WO-2000000737-A1,0.583649,79.9931,FUEL INJECTION VALVE WITH INTEGRATED SPARK PLUG
9,WO-2000000770-A1,0.579946,104.1608,FUEL INJECTOR FOR GAS TURBINE ENGINE
10,WO-2000000738-A1,0.576214,83.2836,FUEL INJECTION VALVE WITH INTEGRATED SPARK PLUG
