rank,ucid,r4_score,bm25f_score,dense_score,title
1,WO-1979000053-A1,0.933022,154.0623,0.6542,INTERNAL COMBUSTION ENGINE FUEL ECONOMY SYSTEM
2,WO-1979000205-A1,0.897325,146.6874,0.6423,A CARBURETOR FOR INTERNAL COMBUSTION ENGINES
3,WO-2000000725-A1,0.889227,167.8368,0.5407,ENGINE SYSTEM EMPLOYING AN UNSYMMETRICAL CYCLE
4,WO-2000000732-A1,0.858774,141.6026,0.6169,FUEL SYSTEM FOR LIQUEFIED GAS
5,WO-2000000727-A1,0.809475,113.7626,0.6769,"METHOD FOR OPERATING AN INTERNAL COMBUSTION ENGINE, ESPECIALLY AN INTERNAL COMBUSTION ENGINE IN A MOTOR VEHICLE"
6,WO-2000000736-A1,0.800575,122.5585,0.6278,FUEL SUPPLY DEVICE FOR AN INTERNAL COMBUSTION ENGINE
7,WO-2000001930-A2,0.76405,121.7796,0.5863,INJECTOR EGR VALVE AND SYSTEM
8,WO-2000000739-A1,0.762826,127.5738,0.5597,METHOD OF CONTROLLING THE IGNITION IN AN INTERNAL COMBUSTION ENGINE AND ENGINE WITH MEANS FOR CARRYING OUT THE METHOD
9,WO-2000000770-A1,0.696793,104.1608,0.5799,FUEL INJECTOR FOR GAS TURBINE ENGINE
10,WO-1979000036-A1,0.662158,101.9519,0.5469,GOVERNING FUEL INJECTION AND HYDRAULIC TRANSMISSION SIMULTANEOUSLY
