rank,ucid,rrf_score,bm25f_rank,dense_rank,title
1,WO-2000011334-A1,0.032018,1,4,COMPRESSED AIR ASSISTED FUEL INJECTION SYSTEM
2,WO-2000011337-A1,0.031746,3,3,FUEL INJECTION SYSTEM CONTROL METHOD
3,WO-2000011343-A1,0.030018,2,12,REGULATION METHOD FOR FUEL INJECTION SYSTEM
4,WO-2000011344-A1,0.028992,8,10,FUEL INJECTION SYSTEM
5,WO-1979000053-A1,0.027032,15,13,INTERNAL COMBUSTION ENGINE FUEL ECONOMY SYSTEM
6,WO-2000017501-A1,0.026254,5,32,METHOD FOR ENHANCED SPLIT INJECTION IN INTERNAL COMBUSTION ENGINES
7,WO-2000029742-A1,0.026137,33,5,FUEL INJECTION SYSTEM FOR INTERNAL COMBUSTION ENGINES
8,WO-2000008328-A1,0.025978,16,18,CONTROL DEVICE FOR DIRECT INJECTION ENGINE
9,WO-1979000205-A1,0.025645,19,17,A CARBURETOR FOR INTERNAL COMBUSTION ENGINES
10,WO-2000020745-A1,0.025429,4,42,"METHOD OF OPERATING AN INTERNAL-COMBUSTION ENGINE, AND INTERNAL-COMBUSTION ENGINE"
